settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
STL000001,TXN000001,2026-01-06,25000.0,settled,BANK00000001
STL000002,TXN000002,2026-01-26,40000.0,settled,BANK00000002
STL000003,TXN000004,2026-01-17,90443.52,settled,BANK00000003
STL000004,TXN000007,2026-01-05,146101.79,settled,BANK00000004
STL000005,TXN000008,2026-01-09,25000.005,settled,BANK00000005
STL000006,TXN000009,2026-01-29,100000.0,settled,BANK00000006
STL000007,TXN000010,2026-01-14,100000.0,settled,BANK00000007
STL000008,TXN000011,2026-01-25,40497.58,settled,BANK00000008
STL000009,TXN000012,2026-01-13,127213.53,settled,BANK00000009
STL000010,TXN000013,2026-01-15,75000.0,settled,BANK00000010
STL000011,TXN000014,2026-01-23,77388.53,settled,BANK00000011
STL000012,TXN000018,2026-01-04,60791.26,settled,BANK00000012
STL000013,TXN000019,2026-01-30,141652.47,settled,BANK00000013
STL000014,TXN000020,2026-01-22,20000.0,settled,BANK00000014
STL000015,TXN000021,2026-01-27,30904.52,settled,BANK00000015
STL000016,TXN000022,2026-01-18,20000.0,settled,BANK00000016
STL000017,TXN000023,2026-01-13,34999.995,settled,BANK00000017
STL000018,TXN000025,2026-01-26,100000.0,settled,BANK00000018
STL000019,TXN000026,2026-01-18,131502.79,settled,BANK00000019
STL000020,TXN000028,2026-01-10,74999.995,settled,BANK00000020
STL000021,TXN000029,2026-01-05,15000.0,settled,BANK00000021
STL000022,TXN000030,2026-01-19,39510.675,settled,BANK00000022
STL000023,TXN000033,2026-01-30,110716.005,settled,BANK00000023
STL000024,TXN000034,2026-01-14,110590.97,settled,BANK00000024
STL000025,TXN000035,2026-01-19,70048.96,settled,BANK00000025
STL000026,TXN000036,2026-01-17,122163.23,settled,BANK00000026
STL000027,TXN000037,2026-02-01,40000.0,settled,BANK00000027
STL000028,TXN000038,2026-01-31,13502.13,settled,BANK00000028
STL000029,TXN000040,2026-01-08,48022.63,settled,BANK00000029
STL000030,TXN000041,2026-01-12,13288.96,settled,BANK00000030
STL000031,TXN000043,2026-01-29,75000.0,settled,BANK00000031
STL000032,TXN000044,2026-01-05,65787.61,settled,BANK00000032
STL000033,TXN000045,2026-01-24,40000.0,settled,BANK00000033
STL000034,TXN000047,2026-01-06,30000.0,settled,BANK00000034
STL000035,TXN000048,2026-01-30,45000.0,settled,BANK00000035
STL000036,TXN000049,2026-01-27,50000.0,settled,BANK00000036
STL000037,TXN000050,2026-01-10,50000.0,settled,BANK00000037
STL000038,TXN000052,2026-01-31,100000.0,settled,BANK00000038
STL000039,TXN000054,2026-01-25,14999.995,settled,BANK00000039
STL000040,TXN000055,2026-01-03,126016.275,settled,BANK00000040
STL000041,TXN000056,2026-01-11,57874.47,settled,BANK00000041
STL000042,TXN000058,2026-01-26,27410.23,settled,BANK00000042
STL000043,TXN000060,2026-01-29,19999.995,settled,BANK00000043
STL000044,TXN000062,2026-01-11,123977.785,settled,BANK00000044
STL000045,TXN000064,2026-01-29,82751.285,settled,BANK00000045
STL000046,TXN000065,2026-01-21,15000.005,settled,BANK00000046
STL000047,TXN000068,2026-01-16,15146.2,settled,BANK00000047
STL000048,TXN000071,2026-01-26,135906.8,settled,BANK00000048
STL000049,TXN000072,2026-01-12,35476.49,settled,BANK00000049
STL000050,TXN000073,2026-01-17,44999.995,settled,BANK00000050
STL000051,TXN000074,2026-01-04,46149.03,settled,BANK00000051
STL000052,TXN000075,2026-01-10,25000.0,settled,BANK00000052
STL000053,TXN000076,2026-01-18,93634.735,settled,BANK00000053
STL000054,TXN000077,2026-01-24,60676.88,settled,BANK00000054
STL000055,TXN000082,2026-01-26,129916.76,settled,BANK00000055
STL000056,TXN000083,2026-01-27,80588.47,settled,BANK00000056
