transaction_id,customer_id,transaction_date,amount,currency,type,original_transaction_id,status
TXN000001,CUST0041,2026-01-04,25000.0,USD,payment,,completed
TXN000002,CUST0044,2026-01-24,40000.0,USD,payment,,completed
TXN000003,CUST0014,2026-01-08,25000.0,USD,payment,,pending
TXN000004,CUST0015,2026-01-15,90443.52,USD,payment,,completed
TXN000005,CUST0045,2026-01-14,35000.0,USD,payment,,pending
TXN000006,CUST0007,2026-01-12,127886.68,USD,payment,,pending
TXN000007,CUST0035,2026-01-04,146101.79,USD,payment,,completed
TXN000008,CUST0037,2026-01-07,25000.0,USD,payment,,completed
TXN000009,CUST0015,2026-01-28,100000.0,USD,payment,,completed
TXN000010,CUST0024,2026-01-12,100000.0,USD,payment,,completed
TXN000011,CUST0035,2026-01-24,40497.58,USD,payment,,completed
TXN000012,CUST0044,2026-01-11,127213.53,USD,payment,,completed
TXN000013,CUST0021,2026-01-13,75000.0,USD,payment,,completed
TXN000014,CUST0014,2026-01-21,77388.53,USD,payment,,completed
TXN000015,CUST0017,2026-01-05,40760.99,USD,payment,,pending
TXN000016,CUST0038,2026-01-13,57489.48,USD,payment,,pending
TXN000017,CUST0006,2026-01-25,100000.0,USD,payment,,pending
TXN000018,CUST0039,2026-01-03,60791.26,USD,payment,,completed
TXN000019,CUST0036,2026-01-28,141652.47,USD,payment,,completed
TXN000020,CUST0050,2026-01-21,20000.0,USD,payment,,completed
TXN000021,CUST0033,2026-01-25,30904.52,USD,payment,,completed
TXN000022,CUST0041,2026-01-17,20000.0,USD,payment,,completed
TXN000023,CUST0039,2026-01-11,35000.0,USD,payment,,completed
TXN000024,CUST0016,2026-01-02,39926.38,USD,refund,TXN000016,completed
TXN000025,CUST0005,2026-01-25,100000.0,USD,payment,,completed
TXN000026,CUST0017,2026-01-17,131502.79,USD,payment,,completed
TXN000027,CUST0046,2026-01-10,62853.88,USD,payment,,pending
TXN000028,CUST0008,2026-01-08,75000.0,USD,payment,,completed
TXN000029,CUST0001,2026-01-03,15000.0,USD,payment,,completed
TXN000030,CUST0005,2026-01-17,39510.67,USD,payment,,completed
TXN000031,CUST0047,2026-01-30,132945.55,USD,payment,,pending
TXN000032,CUST0027,2026-01-07,18677.24,USD,payment,,pending
TXN000033,CUST0030,2026-01-28,110716.0,USD,payment,,completed
TXN000034,CUST0004,2026-01-13,110590.97,USD,payment,,completed
TXN000035,CUST0013,2026-01-18,70048.96,USD,payment,,completed
TXN000036,CUST0005,2026-01-15,122163.23,USD,payment,,completed
TXN000037,CUST0006,2026-01-30,40000.0,USD,payment,,completed
TXN000038,CUST0026,2026-01-29,13502.13,USD,payment,,completed
TXN000039,CUST0030,2026-01-10,66336.09,USD,payment,,pending
TXN000040,CUST0010,2026-01-07,48022.63,USD,payment,,completed
TXN000041,CUST0048,2026-01-11,13288.96,USD,payment,,completed
TXN000042,CUST0004,2026-01-31,78635.13,USD,refund,TXN000005,completed
TXN000043,CUST0044,2026-01-28,75000.0,USD,payment,,completed
TXN000044,CUST0040,2026-01-03,65787.61,USD,payment,,completed
TXN000045,CUST0014,2026-01-22,40000.0,USD,payment,,completed
TXN000046,CUST0030,2026-01-11,139707.66,USD,refund,TXN000040,completed
TXN000047,CUST0037,2026-01-04,30000.0,USD,payment,,completed
TXN000048,CUST0005,2026-01-29,45000.0,USD,payment,,completed
TXN000049,CUST0040,2026-01-26,50000.0,USD,payment,,completed
TXN000050,CUST0009,2026-01-09,50000.0,USD,payment,,completed
TXN000051,CUST0039,2026-01-07,100000.0,USD,payment,,pending
TXN000052,CUST0017,2026-01-29,100000.0,USD,payment,,completed
TXN000053,CUST0003,2026-01-01,30000.0,USD,payment,,pending
TXN000054,CUST0036,2026-01-23,15000.0,USD,payment,,completed
TXN000055,CUST0035,2026-01-02,126016.28,USD,payment,,completed
TXN000056,CUST0003,2026-01-10,57874.47,USD,payment,,completed
TXN000057,CUST0023,2026-01-07,103899.67,USD,payment,,pending
TXN000058,CUST0040,2026-01-24,27410.23,USD,payment,,completed
TXN000059,CUST0027,2026-01-01,31007.3,USD,payment,,pending
TXN000060,CUST0043,2026-01-28,20000.0,USD,payment,,completed
TXN000061,CUST0025,2026-01-28,10615.07,USD,payment,,pending
TXN000062,CUST0023,2026-01-10,123977.78,USD,payment,,completed
TXN000063,CUST0026,2026-01-11,30000.0,USD,payment,,pending
TXN000064,CUST0044,2026-01-27,82751.28,USD,payment,,completed
TXN000065,CUST0012,2026-01-19,15000.0,USD,payment,,completed
TXN000066,CUST0047,2026-01-26,50483.21,USD,payment,,pending
TXN000067,CUST0037,2026-01-07,41934.76,USD,refund,TXN000026,completed
TXN000068,CUST0024,2026-01-14,15146.2,USD,payment,,completed
TXN000069,CUST0043,2026-01-28,23070.67,USD,payment,,pending
TXN000070,CUST0021,2026-01-13,106095.22,USD,payment,,pending
TXN000071,CUST0044,2026-01-24,135906.8,USD,payment,,completed
TXN000072,CUST0020,2026-01-10,35476.49,USD,payment,,completed
TXN000073,CUST0030,2026-01-15,45000.0,USD,payment,,completed
TXN000074,CUST0043,2026-01-03,46149.03,USD,payment,,completed
TXN000075,CUST0049,2026-01-08,25000.0,USD,payment,,completed
TXN000076,CUST0016,2026-01-16,93634.73,USD,payment,,completed
TXN000077,CUST0046,2026-01-23,60676.88,USD,payment,,completed
TXN000078,CUST0049,2026-01-28,40000.0,USD,payment,,pending
TXN000079,CUST0004,2026-01-18,41133.75,USD,payment,,pending
TXN000080,CUST0043,2026-01-17,148244.41,USD,payment,,pending
TXN000081,CUST0040,2026-01-27,109294.72,USD,payment,,pending
TXN000082,CUST0011,2026-01-24,129916.76,USD,payment,,completed
